Reporting Month,Timestamp,What is the name of your school?,What is your school's synthetic school code?,What is the name of your district?,Block Details,Was the PBL project conducted in your school this month?,Was evidence submitted for the completed PBL project?,In which class/classes did you conduct the PBL project?,Which subject do you teach?,"Total number of students enrolled in Class 6, including all sections","Average student attendance during the Class 6 PBL Science session. If you did not teach Science in Class 6, enter 0.","Average student attendance during the Class 6 PBL Math session. If you did not teach Math in Class 6, enter 0.","Total number of students enrolled in Class 7, including all sections","Average student attendance during the Class 7 PBL Science session. If you did not teach Science in Class 7, enter 0.","Average student attendance during the Class 7 PBL Math session. If you did not teach Math in Class 7, enter 0.","Total number of students enrolled in Class 8, including all sections","Average student attendance during the Class 8 PBL Science session. If you did not teach Science in Class 8, enter 0.","Average student attendance during the Class 8 PBL Math session. If you did not teach Math in Class 8, enter 0.",Derived: Total enrollment across Classes 6-8,Derived: Total attendance across PBL Science and Math sessions,Derived: Overall PBL attendance rate,Derived: Risk status
2025-08,2025-08-15 12:25:00,School AAUU,SYN-541-AAUU,District I,District I - Block 012,No,No,Not conducted,Not applicable,68,0,0,61,0,0,53,0,0,182,0,0.0,Critical
2025-08,2025-08-15 12:42:00,School AAUV,SYN-542-AAUV,District I,District I - Block 012,No,No,Not conducted,Not applicable,162,0,0,188,0,0,144,0,0,494,0,0.0,Critical
2025-08,2025-08-15 12:59:00,School AAUW,SYN-543-AAUW,District I,District I - Block 013,Yes,Yes,"Classes 6, 7 and 8",Math and Science,42,28,30,45,33,30,35,27,27,122,175,0.7172,Behind
2025-08,2025-08-15 13:16:00,School AAUX,SYN-544-AAUX,District I,District I - Block 013,Yes,Yes,"Classes 6, 7 and 8",Math and Science,28,25,24,31,30,26,24,20,21,83,146,0.8795,On Track
2025-08,2025-08-15 13:33:00,School AAUY,SYN-545-AAUY,District I,District I - Block 013,Yes,Yes,"Classes 6, 7 and 8",Math and Science,69,44,41,53,31,29,51,30,28,173,203,0.5867,At Risk
2025-08,2025-08-15 13:50:00,School AAUZ,SYN-546-AAUZ,District I,District I - Block 013,Yes,Yes,"Classes 6, 7 and 8",Math and Science,48,23,19,42,19,22,72,30,37,162,150,0.463,At Risk
2025-08,2025-08-15 14:07:00,School AAVA,SYN-547-AAVA,District I,District I - Block 013,Yes,Yes,"Classes 6, 7 and 8",Math and Science,98,57,47,82,50,52,85,46,43,265,295,0.5566,At Risk
2025-08,2025-08-15 14:24:00,School AAVB,SYN-548-AAVB,District I,District I - Block 013,Yes,Yes,"Classes 6, 7 and 8",Math and Science,78,42,37,85,40,39,89,50,54,252,262,0.5198,At Risk
2025-08,2025-08-15 14:41:00,School AAVC,SYN-549-AAVC,District I,District I - Block 013,No,No,Not conducted,Not applicable,66,0,0,63,0,0,53,0,0,182,0,0.0,Critical
2025-08,2025-08-15 14:58:00,School AAVD,SYN-550-AAVD,District I,District I - Block 013,No,No,Not conducted,Not applicable,74,0,0,68,0,0,66,0,0,208,0,0.0,Critical
2025-08,2025-08-15 15:15:00,School AAVE,SYN-551-AAVE,District I,District I - Block 013,Yes,Yes,Classes 6 and 8,Science,128,87,71,124,98,76,123,81,60,375,473,0.6307,Behind
2025-08,2025-08-15 15:32:00,School AAVF,SYN-552-AAVF,District I,District I - Block 013,Yes,No,"Classes 6, 7 and 8",Math and Science,90,44,60,82,45,40,51,28,25,223,242,0.5426,At Risk
2025-08,2025-08-15 15:49:00,School AAVG,SYN-553-AAVG,District I,District I - Block 013,Yes,Yes,"Classes 6, 7 and 8",Math and Science,78,50,60,68,46,47,32,26,22,178,251,0.7051,Behind
2025-08,2025-08-15 16:06:00,School AAVH,SYN-554-AAVH,District I,District I - Block 013,Yes,Yes,"Classes 6, 7 and 8",Math and Science,42,39,41,21,21,21,31,30,30,94,182,0.9681,On Track
2025-08,2025-08-15 16:23:00,School AAVI,SYN-555-AAVI,District I,District I - Block 013,Yes,Yes,"Classes 6, 7 and 8",Math and Science,141,81,83,182,130,118,197,123,134,520,669,0.6433,Behind
2025-08,2025-08-15 16:40:00,School AAYN,SYN-638-AAYN,District I,District I - Block 014,Yes,Yes,"Classes 6, 7 and 8",Math and Science,33,25,26,15,14,15,19,18,16,67,114,0.8507,On Track
2025-08,2025-08-15 16:57:00,School AAYR,SYN-642-AAYR,District I,District I - Block 015,Yes,Yes,"Classes 6, 7 and 8",Math and Science,74,24,24,49,32,24,45,25,30,168,159,0.4732,At Risk
2025-08,2025-08-15 17:14:00,School AAYS,SYN-643-AAYS,District I,District I - Block 015,Yes,Yes,Class 6,Math and Science,102,63,65,84,74,61,130,72,78,316,413,0.6535,Behind
2025-08,2025-08-15 17:31:00,School AAYT,SYN-644-AAYT,District I,District I - Block 015,No,No,Not conducted,Not applicable,73,0,0,69,0,0,64,0,0,206,0,0.0,Critical
2025-08,2025-08-15 17:48:00,School AAYU,SYN-645-AAYU,District I,District I - Block 015,Yes,Yes,Class 6,Math and Science,149,73,62,136,73,66,120,72,90,405,436,0.5383,At Risk
2025-08,2025-08-15 18:05:00,School AAYV,SYN-646-AAYV,District I,District I - Block 015,Yes,Yes,"Classes 6, 7 and 8",Math and Science,123,69,72,138,81,77,154,84,78,415,461,0.5554,At Risk
2025-08,2025-08-15 18:22:00,School AAYW,SYN-647-AAYW,District I,District I - Block 015,No,No,Not conducted,Not applicable,106,0,0,77,0,0,65,0,0,248,0,0.0,Critical
2025-08,2025-08-15 18:39:00,School AAXH,SYN-606-AAXH,District I,District I - Block 016,Yes,Yes,"Classes 6, 7 and 8",Math and Science,156,67,72,140,50,49,160,56,56,456,350,0.3838,At Risk
2025-08,2025-08-15 18:56:00,School AAXI,SYN-607-AAXI,District I,District I - Block 016,Yes,No,"Classes 6, 7 and 8",Math,136,55,52,154,75,55,175,76,64,465,377,0.4054,At Risk
2025-08,2025-08-15 19:13:00,School AAXJ,SYN-608-AAXJ,District I,District I - Block 016,Yes,Yes,Class 7,Math,76,50,42,98,55,50,109,56,55,283,308,0.5442,At Risk
2025-08,2025-08-15 19:30:00,School AAXK,SYN-609-AAXK,District I,District I - Block 016,Yes,No,"Classes 6, 7 and 8",Math and Science,19,11,13,17,13,13,14,10,10,50,70,0.7,Behind
2025-08,2025-08-15 19:47:00,School AAXL,SYN-610-AAXL,District I,District I - Block 016,Yes,Yes,Class 6,Math and Science,19,15,14,17,12,13,14,9,10,50,73,0.73,Behind
2025-08,2025-08-15 20:04:00,School AAXM,SYN-611-AAXM,District I,District I - Block 016,No,No,Not conducted,Not applicable,31,0,0,36,0,0,54,0,0,121,0,0.0,Critical
2025-08,2025-08-15 20:21:00,School AAXN,SYN-612-AAXN,District I,District I - Block 016,Yes,Yes,"Classes 6, 7 and 8",Math and Science,170,47,28,176,51,48,136,33,49,482,256,0.2656,Critical
2025-08,2025-08-15 20:38:00,School AAXO,SYN-613-AAXO,District I,District I - Block 016,No,No,Not conducted,Not applicable,84,0,0,61,0,0,82,0,0,227,0,0.0,Critical
2025-08,2025-08-15 20:55:00,School AAXP,SYN-614-AAXP,District I,District I - Block 016,Yes,Yes,Class 6,Math and Science,42,17,18,22,10,9,18,7,8,82,69,0.4207,At Risk
2025-08,2025-08-15 21:12:00,School AAXQ,SYN-615-AAXQ,District I,District I - Block 016,No,No,Not conducted,Not applicable,70,0,0,50,0,0,100,0,0,220,0,0.0,Critical
2025-08,2025-08-15 21:29:00,School AAVJ,SYN-556-AAVJ,District I,District I - Block 017,Yes,No,"Classes 6, 7 and 8",Math and Science,53,33,32,52,32,31,62,35,32,167,195,0.5838,At Risk
2025-08,2025-08-15 21:46:00,School AAVK,SYN-557-AAVK,District I,District I - Block 017,Yes,Yes,"Classes 6, 7 and 8",Math and Science,108,66,60,109,76,67,134,81,70,351,420,0.5983,At Risk
2025-08,2025-08-15 22:03:00,School AAVL,SYN-558-AAVL,District I,District I - Block 017,Yes,Yes,"Classes 6, 7 and 8",Science,108,72,70,92,71,63,96,65,57,296,398,0.6723,Behind
2025-08,2025-08-15 22:20:00,School AAVM,SYN-559-AAVM,District I,District I - Block 017,Yes,Yes,"Classes 6, 7 and 8",Math and Science,68,53,56,94,71,72,82,57,54,244,363,0.7439,Behind
2025-08,2025-08-15 22:37:00,School AAVN,SYN-560-AAVN,District I,District I - Block 017,Yes,Yes,"Classes 6, 7 and 8",Math and Science,97,51,65,131,58,61,127,69,79,355,383,0.5394,At Risk
2025-08,2025-08-15 22:54:00,School AAVO,SYN-561-AAVO,District I,District I - Block 017,Yes,Yes,"Classes 6, 7 and 8",Math,93,52,76,97,51,81,97,43,77,287,380,0.662,Behind
2025-08,2025-08-15 23:11:00,School AAVP,SYN-562-AAVP,District I,District I - Block 017,Yes,Yes,"Classes 6, 7 and 8",Math and Science,114,65,66,148,84,80,108,70,78,370,443,0.5986,At Risk
2025-08,2025-08-15 23:28:00,School AAVQ,SYN-563-AAVQ,District I,District I - Block 017,Yes,Yes,"Classes 6, 7 and 8",Math and Science,63,48,48,59,51,54,63,53,50,185,304,0.8216,On Track
2025-08,2025-08-15 23:45:00,School AAVR,SYN-564-AAVR,District I,District I - Block 017,Yes,No,"Classes 6, 7 and 8",Math and Science,22,14,14,24,14,13,22,11,12,68,78,0.5735,At Risk
2025-08,2025-08-16 00:02:00,School AAVS,SYN-565-AAVS,District I,District I - Block 017,Yes,Yes,Classes 7 and 8,Science,52,44,44,66,47,31,69,48,44,187,258,0.6898,Behind
2025-08,2025-08-16 00:19:00,School AAYG,SYN-631-AAYG,District I,District I - Block 018,Yes,Yes,Class 6,Math,95,51,42,92,62,44,84,45,41,271,285,0.5258,At Risk
2025-08,2025-08-16 00:36:00,School AAYH,SYN-632-AAYH,District I,District I - Block 018,Yes,Yes,"Classes 6, 7 and 8",Science,79,53,50,62,50,42,53,32,32,194,259,0.6675,Behind
2025-08,2025-08-16 00:53:00,School AAYI,SYN-633-AAYI,District I,District I - Block 018,No,No,Not conducted,Not applicable,54,0,0,38,0,0,28,0,0,120,0,0.0,Critical
2025-08,2025-08-16 01:10:00,School AAYJ,SYN-634-AAYJ,District I,District I - Block 018,Yes,Yes,Class 6,Math and Science,42,41,41,60,59,59,47,46,46,149,292,0.9799,On Track
2025-08,2025-08-16 01:27:00,School AAAV,SYN-022-AAAV,District J,District J - Block 001,Yes,No,"Classes 6, 7 and 8",Math and Science,58,40,39,56,47,38,42,31,34,156,229,0.734,Behind
2025-08,2025-08-16 01:44:00,School AAAW,SYN-023-AAAW,District J,District J - Block 001,Yes,Yes,"Classes 6, 7 and 8",Science,135,65,97,91,58,52,82,53,41,308,366,0.5942,At Risk
2025-08,2025-08-16 02:01:00,School AAGZ,SYN-182-AAGZ,District J,District J - Block 001,Yes,Yes,Class 6,Science,63,36,35,46,33,32,45,27,28,154,191,0.6201,Behind
2025-08,2025-08-16 02:18:00,School AAAX,SYN-024-AAAX,District J,District J - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,42,30,25,15,9,10,25,17,20,82,111,0.6768,Behind
2025-08,2025-08-16 02:35:00,School AAAY,SYN-025-AAAY,District J,District J - Block 002,Yes,Yes,Class 7,Math and Science,17,16,15,11,9,10,15,12,9,43,71,0.8256,On Track
2025-08,2025-08-16 02:52:00,School AAAZ,SYN-026-AAAZ,District J,District J - Block 002,Yes,Yes,Class 7,Science,18,13,7,17,17,11,18,16,14,53,78,0.7358,Behind
2025-08,2025-08-16 03:09:00,School AABA,SYN-027-AABA,District J,District J - Block 002,Yes,Yes,Class 6,Science,65,39,48,48,44,41,85,61,69,198,302,0.7626,On Track
2025-08,2025-08-16 03:26:00,School AABB,SYN-028-AABB,District J,District J - Block 002,Yes,Yes,Class 6,Math and Science,32,28,30,34,27,25,32,28,27,98,165,0.8418,On Track
2025-08,2025-08-16 03:43:00,School AABC,SYN-029-AABC,District J,District J - Block 002,Yes,No,"Classes 6, 7 and 8",Math and Science,103,75,85,129,92,103,146,89,96,378,540,0.7143,Behind
2025-08,2025-08-16 04:00:00,School AABD,SYN-030-AABD,District J,District J - Block 002,Yes,Yes,"Classes 6, 7 and 8",Science,22,16,14,30,23,11,27,20,15,79,99,0.6266,Behind
2025-08,2025-08-16 04:17:00,School AABE,SYN-031-AABE,District J,District J - Block 002,Yes,No,Class 7,Science,30,21,18,25,18,16,30,20,16,85,109,0.6412,Behind
2025-08,2025-08-16 04:34:00,School AABF,SYN-032-AABF,District J,District J - Block 002,Yes,Yes,"Classes 6, 7 and 8",Science,26,9,14,19,12,12,16,10,8,61,65,0.5328,At Risk
2025-08,2025-08-16 04:51:00,School AABG,SYN-033-AABG,District J,District J - Block 002,Yes,Yes,Classes 6 and 8,Math,17,9,17,30,26,26,27,26,23,74,127,0.8581,On Track
2025-08,2025-08-16 05:08:00,School AABH,SYN-034-AABH,District J,District J - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,37,31,36,35,27,24,41,38,38,113,194,0.8584,On Track
2025-08,2025-08-16 05:25:00,School AABI,SYN-035-AABI,District J,District J - Block 002,Yes,Yes,Class 8,Science,35,16,23,45,28,21,50,30,32,130,150,0.5769,At Risk
2025-08,2025-08-16 05:42:00,School AABJ,SYN-036-AABJ,District J,District J - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math,27,20,21,19,15,16,14,12,13,60,97,0.8083,On Track
2025-08,2025-08-16 05:59:00,School AABK,SYN-037-AABK,District J,District J - Block 002,Yes,Yes,Class 6,Math and Science,14,8,8,22,13,13,15,7,8,51,57,0.5588,At Risk
2025-08,2025-08-16 06:16:00,School AABL,SYN-038-AABL,District J,District J - Block 002,Yes,Yes,"Classes 6, 7 and 8",Math and Science,35,23,26,34,23,21,36,21,21,105,135,0.6429,Behind
2025-08,2025-08-16 06:33:00,School AABM,SYN-039-AABM,District J,District J - Block 002,Yes,Yes,Class 6,Science,64,52,52,56,43,38,57,46,50,177,281,0.7938,On Track
2025-08,2025-08-16 06:50:00,School AABN,SYN-040-AABN,District J,District J - Block 003,Yes,Yes,"Classes 6, 7 and 8",Science,83,46,43,83,51,46,52,39,32,218,257,0.5894,At Risk
2025-08,2025-08-16 07:07:00,School AABO,SYN-041-AABO,District J,District J - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math,49,22,32,53,36,37,50,31,37,152,195,0.6414,Behind
2025-08,2025-08-16 07:24:00,School AABP,SYN-042-AABP,District J,District J - Block 003,Yes,No,Class 6,Math and Science,72,45,52,70,49,51,47,30,28,189,255,0.6746,Behind
2025-08,2025-08-16 07:41:00,School AABQ,SYN-043-AABQ,District J,District J - Block 003,Yes,Yes,"Classes 6, 7 and 8",Math and Science,91,68,63,90,55,70,78,63,58,259,377,0.7278,Behind
2025-08,2025-08-16 07:58:00,School AABR,SYN-044-AABR,District J,District J - Block 004,Yes,Yes,Class 6,Science,149,100,93,129,91,105,121,85,104,399,578,0.7243,Behind
2025-08,2025-08-16 08:15:00,School AABS,SYN-045-AABS,District J,District J - Block 004,Yes,Yes,Class 6,Science,142,89,94,122,59,60,120,70,68,384,440,0.5729,At Risk
2025-08,2025-08-16 08:32:00,School AABT,SYN-046-AABT,District J,District J - Block 004,Yes,Yes,Classes 6 and 8,Math and Science,165,135,151,145,142,142,139,135,135,449,840,0.9354,On Track
2025-08,2025-08-16 08:49:00,School AABU,SYN-047-AABU,District J,District J - Block 004,Yes,Yes,Class 6,Math,85,55,59,107,76,90,63,44,39,255,363,0.7118,Behind
2025-08,2025-08-16 09:06:00,School AABV,SYN-048-AABV,District J,District J - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,41,35,32,33,23,25,41,31,27,115,173,0.7522,On Track
2025-08,2025-08-16 09:23:00,School AABW,SYN-049-AABW,District J,District J - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,180,119,123,177,133,141,119,86,75,476,677,0.7111,Behind
2025-08,2025-08-16 09:40:00,School AABX,SYN-050-AABX,District J,District J - Block 004,Yes,Yes,"Classes 6, 7 and 8",Math and Science,50,37,38,49,36,32,42,24,21,141,188,0.6667,Behind
2025-08,2025-08-16 09:57:00,School AABY,SYN-051-AABY,District J,District J - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,64,40,36,71,43,44,48,47,44,183,254,0.694,Behind
2025-08,2025-08-16 10:14:00,School AABZ,SYN-052-AABZ,District J,District J - Block 005,Yes,No,Class 6,Math and Science,137,79,75,111,62,65,84,57,61,332,399,0.6009,Behind
2025-08,2025-08-16 10:31:00,School AACA,SYN-053-AACA,District J,District J - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,41,26,40,76,64,67,46,45,45,163,287,0.8804,On Track
2025-08,2025-08-16 10:48:00,School AACB,SYN-054-AACB,District J,District J - Block 005,Yes,No,Class 6,Math,39,17,22,77,41,18,48,11,33,164,142,0.4329,At Risk
2025-08,2025-08-16 11:05:00,School AACC,SYN-055-AACC,District J,District J - Block 005,No,No,Not conducted,Not applicable,56,0,0,46,0,0,48,0,0,150,0,0.0,Critical
2025-08,2025-08-16 11:22:00,School AACD,SYN-056-AACD,District J,District J - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,79,62,64,66,47,51,51,36,41,196,301,0.7679,On Track
2025-08,2025-08-16 11:39:00,School AACE,SYN-057-AACE,District J,District J - Block 005,Yes,Yes,Class 6,Math,36,28,26,51,29,47,40,37,30,127,197,0.7756,On Track
2025-08,2025-08-16 11:56:00,School AACF,SYN-058-AACF,District J,District J - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,116,90,80,97,65,80,87,76,72,300,463,0.7717,On Track
2025-08,2025-08-16 12:13:00,School AACG,SYN-059-AACG,District J,District J - Block 005,Yes,No,Classes 7 and 8,Science,96,64,43,59,34,28,45,39,41,200,249,0.6225,Behind
2025-08,2025-08-16 12:30:00,School AACH,SYN-060-AACH,District J,District J - Block 005,Yes,No,"Classes 6, 7 and 8",Math and Science,159,75,74,163,82,68,89,36,42,411,377,0.4586,At Risk
2025-08,2025-08-16 12:47:00,School AACI,SYN-061-AACI,District J,District J - Block 005,Yes,Yes,Class 6,Math and Science,162,70,65,183,76,67,118,31,37,463,346,0.3737,At Risk
2025-08,2025-08-16 13:04:00,School AACJ,SYN-062-AACJ,District J,District J - Block 005,Yes,No,"Classes 6, 7 and 8",Math and Science,43,31,26,44,34,41,59,39,41,146,212,0.726,Behind
2025-08,2025-08-16 13:21:00,School AACK,SYN-063-AACK,District J,District J - Block 005,Yes,Yes,"Classes 6, 7 and 8",Math and Science,122,56,58,135,76,71,112,48,52,369,361,0.4892,At Risk
2025-08,2025-08-16 13:38:00,School AACL,SYN-064-AACL,District J,District J - Block 005,No,No,Not conducted,Not applicable,91,0,0,87,0,0,91,0,0,269,0,0.0,Critical
2025-08,2025-08-16 13:55:00,School AACM,SYN-065-AACM,District J,District J - Block 005,Yes,No,"Classes 6, 7 and 8",Science,46,36,39,46,38,38,36,22,23,128,196,0.7656,On Track
2025-08,2025-08-16 14:12:00,School AACN,SYN-066-AACN,District J,District J - Block 005,Yes,No,"Classes 6, 7 and 8",Math and Science,88,54,63,73,52,54,35,22,27,196,272,0.6939,Behind
2025-08,2025-08-16 14:29:00,School AACO,SYN-067-AACO,District J,District J - Block 005,Yes,No,Class 8,Science,83,73,58,66,55,52,54,37,47,203,322,0.7931,On Track
2025-08,2025-08-16 14:46:00,School AACP,SYN-068-AACP,District J,District J - Block 005,No,No,Not conducted,Not applicable,53,0,0,52,0,0,53,0,0,158,0,0.0,Critical
2025-08,2025-08-16 15:03:00,School AACQ,SYN-069-AACQ,District J,District J - Block 006,Yes,Yes,"Classes 6, 7 and 8",Math and Science,71,47,49,65,45,49,65,47,47,201,284,0.7065,Behind
2025-08,2025-08-16 15:20:00,School AACR,SYN-070-AACR,District J,District J - Block 006,No,No,Not conducted,Not applicable,38,0,0,39,0,0,23,0,0,100,0,0.0,Critical
2025-08,2025-08-16 15:37:00,School AACS,SYN-071-AACS,District J,District J - Block 006,Yes,No,"Classes 6, 7 and 8",Math and Science,125,55,53,130,61,60,146,71,62,401,362,0.4514,At Risk
2025-08,2025-08-16 15:54:00,School AACT,SYN-072-AACT,District J,District J - Block 006,No,No,Not conducted,Not applicable,67,0,0,53,0,0,56,0,0,176,0,0.0,Critical
2025-08,2025-08-16 16:11:00,School AACU,SYN-073-AACU,District J,District J - Block 006,Yes,Yes,Class 6,Math and Science,55,44,43,44,37,30,42,38,37,141,229,0.8121,On Track
2025-08,2025-08-16 16:28:00,School AACV,SYN-074-AACV,District J,District J - Block 006,No,No,Not conducted,Not applicable,134,0,0,107,0,0,67,0,0,308,0,0.0,Critical
2025-08,2025-08-16 16:45:00,School AACW,SYN-075-AACW,District J,District J - Block 007,No,No,Not conducted,Not applicable,75,0,0,59,0,0,57,0,0,191,0,0.0,Critical
2025-08,2025-08-16 17:02:00,School AACX,SYN-076-AACX,District J,District J - Block 007,No,No,Not conducted,Not applicable,69,0,0,68,0,0,100,0,0,237,0,0.0,Critical
2025-08,2025-08-16 17:19:00,School AACY,SYN-077-AACY,District J,District J - Block 007,No,No,Not conducted,Not applicable,95,0,0,110,0,0,105,0,0,310,0,0.0,Critical
2025-08,2025-08-16 17:36:00,School AACZ,SYN-078-AACZ,District J,District J - Block 007,Yes,Yes,Class 6,Math and Science,72,43,45,56,43,45,46,26,28,174,230,0.6609,Behind
2025-08,2025-08-16 17:53:00,School AADA,SYN-079-AADA,District J,District J - Block 007,Yes,No,"Classes 6, 7 and 8",Math and Science,74,44,45,64,46,46,73,47,47,211,275,0.6517,Behind
2025-08,2025-08-16 18:10:00,School AADB,SYN-080-AADB,District J,District J - Block 007,No,No,Not conducted,Not applicable,160,0,0,234,0,0,160,0,0,554,0,0.0,Critical
2025-08,2025-08-16 18:27:00,School AADC,SYN-081-AADC,District J,District J - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,88,67,58,69,50,46,53,46,50,210,317,0.7548,On Track
2025-08,2025-08-16 18:44:00,School AADD,SYN-082-AADD,District J,District J - Block 007,Yes,Yes,"Classes 6, 7 and 8",Math and Science,100,92,81,125,110,105,106,80,81,331,549,0.8293,On Track
2025-08,2025-08-16 19:01:00,School AADE,SYN-083-AADE,District J,District J - Block 007,Yes,No,Class 6,Math and Science,144,78,69,121,60,70,104,59,66,369,402,0.5447,At Risk
2025-08,2025-08-16 19:18:00,School AADF,SYN-084-AADF,District J,District J - Block 007,No,No,Not conducted,Not applicable,173,0,0,148,0,0,132,0,0,453,0,0.0,Critical
2025-08,2025-08-16 19:35:00,School AADG,SYN-085-AADG,District J,District J - Block 007,Yes,Yes,"Classes 6, 7 and 8",Science,32,25,18,27,20,15,43,30,29,102,137,0.6716,Behind
2025-08,2025-08-16 19:52:00,School AADH,SYN-086-AADH,District J,District J - Block 007,Yes,Yes,Class 6,Math and Science,32,25,22,27,23,22,43,32,30,102,154,0.7549,On Track
2025-08,2025-08-16 20:09:00,School AADI,SYN-087-AADI,District J,District J - Block 007,Yes,Yes,Class 6,Math and Science,216,149,141,176,131,111,133,79,78,525,689,0.6562,Behind
2025-08,2025-08-16 20:26:00,School AADJ,SYN-088-AADJ,District J,District J - Block 007,Yes,No,Class 6,Math and Science,106,76,71,75,47,54,83,61,54,264,363,0.6875,Behind
2025-08,2025-08-16 20:43:00,School AADK,SYN-089-AADK,District J,District J - Block 008,Yes,No,"Classes 6, 7 and 8",Math and Science,56,41,39,56,45,44,47,43,42,159,254,0.7987,On Track
2025-08,2025-08-16 21:00:00,School AADL,SYN-090-AADL,District J,District J - Block 008,Yes,No,Class 6,Math and Science,140,132,107,130,102,87,128,108,122,398,658,0.8266,On Track
2025-08,2025-08-16 21:17:00,School AADM,SYN-091-AADM,District J,District J - Block 008,No,No,Not conducted,Not applicable,106,0,0,89,0,0,72,0,0,267,0,0.0,Critical
2025-08,2025-08-16 21:34:00,School AADN,SYN-092-AADN,District J,District J - Block 008,Yes,No,Class 6,Math and Science,77,61,55,102,72,71,87,74,73,266,406,0.7632,On Track
2025-08,2025-08-16 21:51:00,School AADO,SYN-093-AADO,District J,District J - Block 009,Yes,Yes,Class 6,Science,112,71,61,121,89,72,109,63,71,342,427,0.6243,Behind
2025-08,2025-08-16 22:08:00,School AADP,SYN-094-AADP,District J,District J - Block 009,Yes,No,"Classes 6, 7 and 8",Math and Science,64,45,44,125,98,96,93,63,59,282,405,0.7181,Behind
2025-08,2025-08-16 22:25:00,School AADQ,SYN-095-AADQ,District J,District J - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,66,59,56,54,47,40,53,52,44,173,298,0.8613,On Track
2025-08,2025-08-16 22:42:00,School AADR,SYN-096-AADR,District J,District J - Block 009,Yes,No,"Classes 6, 7 and 8",Math and Science,86,47,49,90,41,44,91,43,40,267,264,0.4944,At Risk
2025-08,2025-08-16 22:59:00,School AADS,SYN-097-AADS,District J,District J - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,65,48,49,92,66,70,63,45,54,220,332,0.7545,On Track
2025-08,2025-08-16 23:16:00,School AADT,SYN-098-AADT,District J,District J - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,51,22,25,55,28,26,27,18,23,133,142,0.5338,At Risk
2025-08,2025-08-16 23:33:00,School AADU,SYN-099-AADU,District J,District J - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,15,13,11,22,16,14,26,17,17,63,88,0.6984,Behind
2025-08,2025-08-16 23:50:00,School AADV,SYN-100-AADV,District J,District J - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,51,36,40,59,43,42,65,43,42,175,246,0.7029,Behind
2025-08,2025-08-17 00:07:00,School AADW,SYN-101-AADW,District J,District J - Block 009,Yes,Yes,Class 6,Math and Science,45,33,30,31,24,26,56,41,35,132,189,0.7159,Behind
2025-08,2025-08-17 00:24:00,School AADX,SYN-102-AADX,District J,District J - Block 009,Yes,Yes,Class 6,Science,95,82,84,70,66,66,92,90,81,257,469,0.9125,On Track
2025-08,2025-08-17 00:41:00,School AADY,SYN-103-AADY,District J,District J - Block 009,Yes,Yes,"Classes 6, 7 and 8",Math and Science,54,42,42,63,44,39,78,46,42,195,255,0.6538,Behind
2025-08,2025-08-17 00:58:00,School AADZ,SYN-104-AADZ,District J,District J - Block 010,Yes,Yes,"Classes 6, 7 and 8",Math and Science,66,42,46,39,24,29,55,37,34,160,212,0.6625,Behind
2025-08,2025-08-17 01:15:00,School AAEA,SYN-105-AAEA,District J,District J - Block 010,Yes,No,"Classes 6, 7 and 8",Math and Science,48,20,23,30,19,18,35,18,26,113,124,0.5487,At Risk
2025-08,2025-08-17 01:32:00,School AAEB,SYN-106-AAEB,District J,District J - Block 010,Yes,Yes,Class 6,Math and Science,67,46,48,68,38,39,50,25,23,185,219,0.5919,At Risk
2025-08,2025-08-17 01:49:00,School AAEC,SYN-107-AAEC,District J,District J - Block 010,Yes,Yes,"Classes 6, 7 and 8",Math and Science,89,61,54,81,57,64,80,53,50,250,339,0.678,Behind
2025-08,2025-08-17 02:06:00,School AAED,SYN-108-AAED,District J,District J - Block 010,Yes,No,"Classes 6, 7 and 8",Math and Science,50,33,22,55,41,38,72,44,39,177,217,0.613,Behind
2025-08,2025-08-17 02:23:00,School AAEE,SYN-109-AAEE,District J,District J - Block 010,Yes,No,"Classes 6, 7 and 8",Math and Science,35,25,26,43,27,26,31,20,22,109,146,0.6697,Behind
2025-08,2025-08-17 02:40:00,School AAEF,SYN-110-AAEF,District J,District J - Block 011,Yes,No,"Classes 6, 7 and 8",Math and Science,63,41,40,66,43,38,32,25,25,161,212,0.6584,Behind
2025-08,2025-08-17 02:57:00,School AAEG,SYN-111-AAEG,District J,District J - Block 011,Yes,Yes,"Classes 6, 7 and 8",Math and Science,30,22,20,49,35,35,36,29,27,115,168,0.7304,Behind
